x,mu_rmse_VAE-RNN,pstd_rmse_VAE-RNN,mstd_rmse_VAE-RNN,mu_nll_VAE-RNN,pstd_nll_VAE-RNN,mstd_nll_VAE-RNN,mu_rmse_VRNN-Gauss-I,pstd_rmse_VRNN-Gauss-I,mstd_rmse_VRNN-Gauss-I,mu_nll_VRNN-Gauss-I,pstd_nll_VRNN-Gauss-I,mstd_nll_VRNN-Gauss-I,mu_rmse_VRNN-Gauss,pstd_rmse_VRNN-Gauss,mstd_rmse_VRNN-Gauss,mu_nll_VRNN-Gauss,pstd_nll_VRNN-Gauss,mstd_nll_VRNN-Gauss,mu_rmse_VRNN-GMM-I,pstd_rmse_VRNN-GMM-I,mstd_rmse_VRNN-GMM-I,mu_nll_VRNN-GMM-I,pstd_nll_VRNN-GMM-I,mstd_nll_VRNN-GMM-I,mu_rmse_VRNN-GMM,pstd_rmse_VRNN-GMM,mstd_rmse_VRNN-GMM,mu_nll_VRNN-GMM,pstd_nll_VRNN-GMM,mstd_nll_VRNN-GMM,mu_rmse_STORN,pstd_rmse_STORN,mstd_rmse_STORN,mu_nll_STORN,pstd_nll_STORN,mstd_nll_STORN
2000,1.4105045,1.6343665,1.1866424,1.6931553,1.8491334,1.5371772,1.4607533,1.6141009,1.3074057,1.8154995,1.9771054,1.6538937,1.4765546,1.6259658,1.3271434,1.7900816,1.9466819,1.6334814,1.3161081,1.540587,1.0916293,1.665447,1.8638244,1.4670696,1.3284916,1.5459005,1.1110827,1.680294,1.8970585,1.4635296,1.5163633,1.6282094,1.4045172,1.8362005,1.9776675,1.6947335
5000,1.1082124,1.3062254,0.9101993,1.4837896,1.601432,1.3661472,1.136944,1.4477763,0.8261118,1.5309681,1.8137331,1.248203,1.0737194,1.3527422,0.79469657,1.5009867,1.7818198,1.2201536,1.1222532,1.3886052,0.8559011,1.487964,1.7122006,1.2637274,1.0966882,1.3743412,0.81903505,1.4836223,1.7278169,1.2394277,1.3048242,1.5849842,1.0246643,1.6304148,1.8636472,1.3971825
10000,1.0364822,1.2810974,0.791867,1.4355286,1.5723873,1.2986699,0.92193425,1.1191312,0.7247373,1.3468285,1.5332699,1.160387,0.8865587,1.0396054,0.73351204,1.3193039,1.4546121,1.1839956,0.9113472,1.1453696,0.6773247,1.3310702,1.5273511,1.1347892,0.90893686,1.1258469,0.6920269,1.3526467,1.5857588,1.1195346,0.95842934,1.2214701,0.69538856,1.3578303,1.5473303,1.1683303
20000,0.9407243,1.1387194,0.7427292,1.3943661,1.5294569,1.2592754,0.90862787,1.023482,0.7937737,1.3291913,1.4344586,1.223924,0.881849,1.0165333,0.7471648,1.3134294,1.4382375,1.1886212,0.86908,1.0091536,0.7290064,1.2892727,1.4028487,1.1756966,0.87434125,0.9845055,0.764177,1.3062117,1.4042864,1.208137,0.74513084,0.9198036,0.57045805,1.2172974,1.3205324,1.1140624
30000,0.85391057,0.9061562,0.80166495,1.3444,1.3801521,1.308648,0.91263205,1.0320449,0.7932192,1.3336529,1.4440794,1.2232263,0.8507782,0.9389133,0.76264316,1.2835922,1.361051,1.2061335,0.8986246,1.0083691,0.7888801,1.3183038,1.4143364,1.2222712,0.88019097,0.9681536,0.79222834,1.3069865,1.3818958,1.2320771,0.6881031,0.807373,0.5688332,1.2053292,1.274854,1.1358044
40000,0.85973096,0.94604194,0.77342,1.3494871,1.3997835,1.2991906,0.9012434,1.0007949,0.8016919,1.31982,1.4095855,1.2300546,0.86985767,0.93031156,0.8094038,1.2987767,1.3514663,1.2460872,0.8870503,0.95662045,0.8174801,1.3051213,1.3678094,1.2424332,0.8771479,0.95594424,0.7983516,1.3061355,1.3747457,1.2375253,0.681832,0.7817496,0.5819144,1.2071806,1.2650782,1.149283
50000,0.8413662,0.92582405,0.7569083,1.3410925,1.3945235,1.2876614,0.9025879,0.9953666,0.8098092,1.3210969,1.4038926,1.2383012,0.87038815,0.9760116,0.7647647,1.299986,1.3907913,1.2091807,0.8992964,0.99612164,0.80247116,1.318773,1.3990451,1.238501,0.86975944,0.95740104,0.78211784,1.3004113,1.3790005,1.2218221,0.67694753,0.7795077,0.5743874,1.2158983,1.2744279,1.1573687
60000,0.87162673,1.0433968,0.69985664,1.3627576,1.4888268,1.2366884,0.8898733,0.9711137,0.80863297,1.309072,1.3820448,1.2360992,0.88768595,0.9852215,0.7901504,1.3133346,1.3953797,1.2312895,0.9058191,0.96997213,0.8416661,1.3235874,1.3806001,1.2665747,0.8926254,0.98795444,0.79729635,1.3207425,1.4064808,1.2350042,0.63992035,0.72250646,0.55733424,1.1970329,1.2557058,1.13836
