,train_dict,options_dict,test_dict
best_epoch,85.0,,
total_epoch,189.0,,
train_time,88.26070165634155,,
h_dim,,40.0,
z_dim,,10.0,
n_layers,,1.0,
seq_len_train,,128.0,
batch_size,,8.0,
lr_scheduler_nepochs,,30.0,
lr_scheduler_factor,,10.0,
model_param,,29762.0,
marginal_likeli,,,-2241.9624
vaf,,,-1.2076497077941895
rmse,,,[2.13518381]
