,train_dict,options_dict,test_dict
best_epoch,224.0,,
total_epoch,226.0,,
train_time,150.56893610954285,,
h_dim,,100.0,
z_dim,,2.0,
n_layers,,1.0,
seq_len_train,,128.0,
batch_size,,8.0,
lr_scheduler_nepochs,,30.0,
lr_scheduler_factor,,10.0,
model_param,,172310.0,
marginal_likeli,,,-2211.809
vaf,,,6.67080283164978
rmse,,,[2.06323147]
