,train_dict,options_dict,test_dict
best_epoch,86.0,,
total_epoch,208.0,,
train_time,94.5463387966156,,
h_dim,,40.0,
z_dim,,1.0,
n_layers,,1.0,
seq_len_train,,128.0,
batch_size,,8.0,
lr_scheduler_nepochs,,30.0,
lr_scheduler_factor,,10.0,
model_param,,27926.0,
marginal_likeli,,,-2240.4434
vaf,,,-4.805862903594971
rmse,,,[2.16107965]
