x,mu_rmse_ms_VAE-RNN,pstd_rmse_ms_VAE-RNN,mstd_rmse_ms_VAE-RNN,mu_rmse_ss_VAE-RNN,pstd_rmse_ss_VAE-RNN,mstd_rmse_ss_VAE-RNN,mu_rmse_ms_VRNN-Gauss-I,pstd_rmse_ms_VRNN-Gauss-I,mstd_rmse_ms_VRNN-Gauss-I,mu_rmse_ss_VRNN-Gauss-I,pstd_rmse_ss_VRNN-Gauss-I,mstd_rmse_ss_VRNN-Gauss-I,mu_rmse_ms_VRNN-Gauss,pstd_rmse_ms_VRNN-Gauss,mstd_rmse_ms_VRNN-Gauss,mu_rmse_ss_VRNN-Gauss,pstd_rmse_ss_VRNN-Gauss,mstd_rmse_ss_VRNN-Gauss,mu_rmse_ms_VRNN-GMM-I,pstd_rmse_ms_VRNN-GMM-I,mstd_rmse_ms_VRNN-GMM-I,mu_rmse_ss_VRNN-GMM-I,pstd_rmse_ss_VRNN-GMM-I,mstd_rmse_ss_VRNN-GMM-I,mu_rmse_ms_VRNN-GMM,pstd_rmse_ms_VRNN-GMM,mstd_rmse_ms_VRNN-GMM,mu_rmse_ss_VRNN-GMM,pstd_rmse_ss_VRNN-GMM,mstd_rmse_ss_VRNN-GMM,mu_rmse_ms_STORN,pstd_rmse_ms_STORN,mstd_rmse_ms_STORN,mu_rmse_ss_STORN,pstd_rmse_ss_STORN,mstd_rmse_ss_STORN
30,0.057033736,,,0.05684609,,,0.0803647,,,0.08070268,,,0.09876117,,,0.08492876,,,0.082284085,,,0.09540289,,,0.083084986,,,0.08994543,,,0.03479432,,,0.03310354,,
40,0.05010324,,,0.051403895,,,0.07908965,,,0.08159658,,,0.083751746,,,0.08604698,,,0.07238954,,,0.08634046,,,0.0749319,,,0.08511253,,,0.08058573,,,0.05500112,,
50,0.049406607,,,0.053947296,,,0.07614524,,,0.08716803,,,0.0726325,,,0.0854154,,,0.0655145,,,0.046632193,,,0.07722367,,,0.084128834,,,0.085426755,,,0.059330605,,
60,0.12820746,,,0.07951117,,,0.030608466,,,0.0238057,,,0.07156967,,,0.09518717,,,0.064986326,,,0.048975524,,,0.07770904,,,0.0788214,,,0.03523773,,,0.03055969,,
70,0.04550578,,,0.047520157,,,0.07791804,,,0.08439596,,,0.07832476,,,0.08833129,,,0.08077775,,,0.069847666,,,0.07130525,,,0.07759231,,,0.03562412,,,0.025913121,,
