x,mu_rmse_ms_STORN,pstd_rmse_ms_STORN,mstd_rmse_ms_STORN,mu_rmse_ss_STORN,pstd_rmse_ss_STORN,mstd_rmse_ss_STORN
30,0.123656355,0.19555598,0.051756717,0.08378144,0.16034484,0.0072180554
40,0.06466257,0.067274734,0.0620504,0.03770526,0.049760148,0.025650373
50,0.045946494,0.054746028,0.03714696,0.030536542,0.039701402,0.02137168
60,0.050786216,0.06491742,0.036655013,0.04544342,0.059386134,0.031500705
70,0.056209207,0.07125345,0.041164964,0.05406676,0.08854097,0.01959255
