x,mu_rmse_ms_STORN,pstd_rmse_ms_STORN,mstd_rmse_ms_STORN,mu_rmse_ss_STORN,pstd_rmse_ss_STORN,mstd_rmse_ss_STORN
1,0.06309426,0.06942153,0.056766987,0.04126373,0.052103467,0.03042399
3,0.06656605,0.07318195,0.059950154,0.023441914,0.026598051,0.020285778
5,0.07431396,0.09099009,0.057637833,0.048610754,0.048866354,0.048355155
7,0.06254028,0.096829474,0.028251085,0.08361296,0.15281864,0.014407292
